customer_id,amount_cad,debit_credit,transaction_date,transaction_time,transaction_datetime,anomaly_score,is_anomaly
SYNCID0000000000,6316.04,debit,2022-11-18,00:00:00,2022-11-18,1,False
SYNCID0000000000,0.03,credit,2022-12-31,00:00:00,2022-12-31,1,False
SYNCID0000000038,67268.48,credit,2022-12-07,00:00:00,2022-12-07,1,False
SYNCID0000000055,6354.06,credit,2022-12-07,00:00:00,2022-12-07,1,False
SYNCID0000000061,7217.61,credit,2023-01-10,00:00:00,2023-01-10,1,False
SYNCID0000000063,262017.1,debit,2022-12-23,00:00:00,2022-12-23,1,False
SYNCID0000000079,8899.15,debit,2023-01-26,00:00:00,2023-01-26,1,False
SYNCID0000000097,11249.32,debit,2023-01-27,00:00:00,2023-01-27,1,False
SYNCID0000000097,986.71,debit,2023-01-26,00:00:00,2023-01-26,1,False
SYNCID0000000097,110.06,debit,2022-11-16,00:00:00,2022-11-16,1,False
SYNCID0000000097,6970.17,credit,2022-11-25,00:00:00,2022-11-25,1,False
SYNCID0000000097,9402.37,debit,2022-12-14,00:00:00,2022-12-14,1,False
SYNCID0000000154,13825.16,debit,2022-11-25,00:00:00,2022-11-25,1,False
SYNCID0000000186,4120.51,debit,2022-11-09,00:00:00,2022-11-09,1,False
SYNCID0000000210,11685.9,debit,2022-12-27,00:00:00,2022-12-27,1,False
SYNCID0000000210,67410.97,debit,2023-01-19,00:00:00,2023-01-19,1,False
SYNCID0000000222,598947.85,debit,2023-01-30,00:00:00,2023-01-30,1,False
SYNCID0000000227,262274.05,credit,2023-01-17,00:00:00,2023-01-17,1,False
SYNCID0000000234,3150.19,credit,2023-01-26,00:00:00,2023-01-26,1,False
SYNCID0000000241,1629.32,debit,2022-12-09,00:00:00,2022-12-09,1,False
SYNCID0000000241,1481.74,debit,2022-11-18,00:00:00,2022-11-18,1,False
SYNCID0000000241,11200.15,debit,2022-11-03,00:00:00,2022-11-03,1,False
SYNCID0000000276,507672.8,credit,2022-12-12,00:00:00,2022-12-12,1,False
SYNCID0000000288,88078.76,credit,2022-12-12,00:00:00,2022-12-12,1,False
SYNCID0000000288,10766.35,credit,2022-11-06,00:00:00,2022-11-06,1,False
